param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,param_tree_method,mean_test_score,std_test_score,rank_test_score
0.9,0.3,0.02,4,4,700,0.4,0.1,0.6,hist,-0.5970805880459873,0.2757009082783523,1
0.95,0.3,0.02,4,4,700,0.4,0.1,0.6,hist,-0.5970805880459873,0.2757009082783523,1
0.95,0.3,0.02,3,4,700,0.4,0.3,0.6,hist,-0.5977993890010949,0.27595128073922065,3
0.9,0.3,0.02,3,4,700,0.4,0.3,0.6,hist,-0.5977993890010949,0.27595128073922065,3
0.95,0.3,0.02,4,4,600,0.4,0.1,0.6,hist,-0.5985915083297575,0.27568609571925334,5
0.9,0.3,0.02,4,4,600,0.4,0.1,0.6,hist,-0.5985915083297575,0.27568609571925334,5
0.9,0.3,0.02,4,4,700,0.45,0.2,0.6,hist,-0.5992448428837939,0.27046430923872705,7
0.95,0.3,0.02,4,4,700,0.45,0.2,0.6,hist,-0.5992448428837939,0.27046430923872705,7
0.9,0.3,0.02,3,4,700,0.5,0.3,0.6,hist,-0.5993455444181809,0.27664656775347024,9
0.95,0.3,0.02,3,4,700,0.5,0.3,0.6,hist,-0.5993455444181809,0.27664656775347024,9
0.9,0.3,0.02,4,4,700,0.5,0.1,0.6,hist,-0.5994563088311088,0.27073816160233855,11
0.95,0.3,0.02,4,4,700,0.5,0.1,0.6,hist,-0.5994563088311088,0.27073816160233855,11
0.9,0.4,0.02,4,4,700,0.4,0.3,0.6,hist,-0.5995344659053916,0.2721770142387541,13
0.95,0.4,0.02,4,4,700,0.4,0.3,0.6,hist,-0.5995344659053916,0.2721770142387541,13
0.95,0.4,0.02,4,4,600,0.4,0.3,0.6,hist,-0.5999030182501282,0.27292340658348824,15
0.9,0.4,0.02,4,4,600,0.4,0.3,0.6,hist,-0.5999030182501282,0.27292340658348824,15
0.9,0.3,0.02,4,4,700,0.5,0.2,0.6,hist,-0.6004807764997385,0.27764854727440097,17
0.95,0.3,0.02,4,4,700,0.5,0.2,0.6,hist,-0.6004807764997385,0.27764854727440097,17
0.9,0.4,0.02,3,4,700,0.5,0.2,0.6,hist,-0.6004850707391295,0.27772410976361306,19
0.95,0.4,0.02,3,4,700,0.5,0.2,0.6,hist,-0.6004850707391295,0.27772410976361306,19
0.9,0.3,0.02,4,4,600,0.5,0.1,0.6,hist,-0.6005566494257762,0.27231990256282773,21
0.95,0.3,0.02,4,4,600,0.5,0.1,0.6,hist,-0.6005566494257762,0.27231990256282773,21
0.95,0.5,0.02,3,4,700,0.5,0.1,0.6,hist,-0.6008417003284799,0.2747403111819312,23
0.9,0.5,0.02,3,4,700,0.5,0.1,0.6,hist,-0.6008417003284799,0.2747403111819312,23
0.9,0.4,0.02,2,4,700,0.4,0.1,0.6,hist,-0.6009740313751528,0.28529125207597456,25
